asset,enrich,enrich_asset_len,enrich_has_title,quality,raw_title,score,score_e_ai_star,seed_id,source_domain,source_type,source_url,timestamps
zerodays.org,"{'has_title': False, 'asset_len': 12, 'source_type': 'web'}",12,False,"{'q': 0.6, 'notes': 'HTTP fetch'}",,"{'M': 0.6, 'C': 0.0, 'Q': 0.3, 'V': 1.0, 'e_ai_star': 0.42000000000000004}",0.42000000000000004,S-ZERODAYS-1,zerodays.org,web,https://zerodays.org,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
advanziabank.de,"{'has_title': True, 'asset_len': 15, 'source_type': 'ti_post'}",15,True,"{'q': 0.7, 'notes': 'urlscan search'}",www.access.advanziabank.de,"{'M': 1.0, 'C': 0.0, 'Q': 0.35, 'V': 1.0, 'e_ai_star': 0.57}",0.57,S-F7B55DF1,advanziabank.de,ti_post,https://www.access.advanziabank.de/,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
brimak.com.br,"{'has_title': True, 'asset_len': 13, 'source_type': 'ti_post'}",13,True,"{'q': 0.7, 'notes': 'urlscan search'}",Home - Esquadriluxo Portas e Janelas de PVC,"{'M': 1.0, 'C': 0.0, 'Q': 0.35, 'V': 1.0, 'e_ai_star': 0.57}",0.57,S-F7B55DF1,brimak.com.br,ti_post,https://www.portasejanelasdepvc.com.br.brimak.com.br/,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
amazon.com,"{'has_title': True, 'asset_len': 10, 'source_type': 'ti_post'}",10,True,"{'q': 0.7, 'notes': 'urlscan search'}",Services de cloud computing – Amazon Web Services (AWS),"{'M': 1.0, 'C': 0.0, 'Q': 0.35, 'V': 1.0, 'e_ai_star': 0.57}",0.57,S-F7B55DF1,amazon.com,ti_post,https://aws.amazon.com/fr/,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
afternic.com,"{'has_title': True, 'asset_len': 12, 'source_type': 'ti_post'}",12,True,"{'q': 0.7, 'notes': 'urlscan search'}",treatment24.com,"{'M': 1.0, 'C': 0.0, 'Q': 0.35, 'V': 1.0, 'e_ai_star': 0.57}",0.57,S-F7B55DF1,afternic.com,ti_post,https://www.afternic.com/forsale/treatment24.com?utm_source=TDFS_DASLNC&utm_medium=parkedpages&utm_campaign=x_corp_tdfs-daslnc_base&traffic_type=TDFS_DASLNC&traffic_id=daslnc&,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
oast.me,"{'has_title': False, 'asset_len': 7, 'source_type': 'ti_post'}",7,False,"{'q': 0.7, 'notes': 'urlscan search'}",,"{'M': 1.0, 'C': 0.0, 'Q': 0.35, 'V': 1.0, 'e_ai_star': 0.57}",0.57,S-F7B55DF1,oast.me,ti_post,https://22d0elr1siieqcf1p36vpg5bsoxwwsqyh4s.oast.me/,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
anadoluportfoyyatirim.com,"{'has_title': False, 'asset_len': 25, 'source_type': 'ti_post'}",25,False,"{'q': 0.7, 'notes': 'urlscan search'}",,"{'M': 1.0, 'C': 0.0, 'Q': 0.35, 'V': 1.0, 'e_ai_star': 0.57}",0.57,S-F7B55DF1,anadoluportfoyyatirim.com,ti_post,https://app.anadoluportfoyyatirim.com/cdn-cgi/phish-bypass?atok=tUZeNlRV_FegJzxsYKyv4sGsKKOtfUj9PdhBS1OgyoY-1754947515.8401322-0.0.1.1-%2F&original_path=%2F&cf-turnstile-response=,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
amazon.com,"{'has_title': True, 'asset_len': 10, 'source_type': 'ti_post'}",10,True,"{'q': 0.7, 'notes': 'urlscan search'}",Cloud-Computing-Services – Amazon Web Services (AWS),"{'M': 1.0, 'C': 0.0, 'Q': 0.35, 'V': 1.0, 'e_ai_star': 0.57}",0.57,S-F7B55DF1,amazon.com,ti_post,https://aws.amazon.com/de/,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
greenpulselife.com,"{'has_title': True, 'asset_len': 18, 'source_type': 'ti_post'}",18,True,"{'q': 0.7, 'notes': 'urlscan search'}","GREENPULSE - Supplements for relaxation, cognitive clarity, well-being","{'M': 1.0, 'C': 0.0, 'Q': 0.35, 'V': 1.0, 'e_ai_star': 0.57}",0.57,S-F7B55DF1,greenpulselife.com,ti_post,https://greenpulselife.com/,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
pilkanahali.pl,"{'has_title': True, 'asset_len': 14, 'source_type': 'ti_post'}",14,True,"{'q': 0.7, 'notes': 'urlscan search'}",PNH,"{'M': 1.0, 'C': 0.0, 'Q': 0.35, 'V': 1.0, 'e_ai_star': 0.57}",0.57,S-F7B55DF1,pilkanahali.pl,ti_post,https://www.pilkanahali.pl/,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
benhviennongnghiep.com,"{'has_title': True, 'asset_len': 22, 'source_type': 'ti_post'}",22,True,"{'q': 0.7, 'notes': 'urlscan search'}",Bệnh Viện Nông Nghiệp Con Cò Vàng,"{'M': 1.0, 'C': 0.0, 'Q': 0.35, 'V': 1.0, 'e_ai_star': 0.57}",0.57,S-F7B55DF1,benhviennongnghiep.com,ti_post,https://benhviennongnghiep.com/,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
github.com,"{'has_title': True, 'asset_len': 10, 'source_type': 'code'}",10,True,"{'q': 0.6, 'notes': 'github search'}",jivoi/awesome-osint,"{'M': 0.6, 'C': 0.0, 'Q': 0.3, 'V': 1.0, 'e_ai_star': 0.42000000000000004}",0.42000000000000004,S-630299DD,github.com,code,https://github.com/jivoi/awesome-osint,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
github.com,"{'has_title': True, 'asset_len': 10, 'source_type': 'code'}",10,True,"{'q': 0.6, 'notes': 'github search'}",Datalux/Osintgram,"{'M': 0.6, 'C': 0.0, 'Q': 0.3, 'V': 1.0, 'e_ai_star': 0.42000000000000004}",0.42000000000000004,S-630299DD,github.com,code,https://github.com/Datalux/Osintgram,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
github.com,"{'has_title': True, 'asset_len': 10, 'source_type': 'code'}",10,True,"{'q': 0.6, 'notes': 'github search'}",lockfale/OSINT-Framework,"{'M': 0.6, 'C': 0.0, 'Q': 0.3, 'V': 1.0, 'e_ai_star': 0.42000000000000004}",0.42000000000000004,S-630299DD,github.com,code,https://github.com/lockfale/OSINT-Framework,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
github.com,"{'has_title': True, 'asset_len': 10, 'source_type': 'code'}",10,True,"{'q': 0.6, 'notes': 'github search'}",sinwindie/OSINT,"{'M': 0.6, 'C': 0.0, 'Q': 0.3, 'V': 1.0, 'e_ai_star': 0.42000000000000004}",0.42000000000000004,S-630299DD,github.com,code,https://github.com/sinwindie/OSINT,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
github.com,"{'has_title': True, 'asset_len': 10, 'source_type': 'code'}",10,True,"{'q': 0.6, 'notes': 'github search'}",ChenYilong/iOSInterviewQuestions,"{'M': 0.6, 'C': 0.0, 'Q': 0.3, 'V': 1.0, 'e_ai_star': 0.42000000000000004}",0.42000000000000004,S-630299DD,github.com,code,https://github.com/ChenYilong/iOSInterviewQuestions,"{'observed': '2025-08-17T21:19:32.189519Z', 'collected': '2025-08-17T21:19:32.189519Z'}"
